,,Subject,,,659,
,,Protocol,,,Level_8 v2,
,,Type,,,Master,
,,Channel,,,8,
,,Master,,,,
,,Date,,,2025-12-12,
,,Time,,,17:50:37,570,
,,Clock,,,5,
,,Time Warp,,,1x,
2030,756,540,Entry,3,RandomHole,,
2031,756,550,Exit,3,RandomHole,Time,
2032,756,550,List,,Pseudo1a5,   12,000,
2033,756,550,Entry,12,hole4,,
2034,756,550,Reg,12,HoleNumber,    4,000,
2035,757,105,Input,2,On1A2,,
2036,757,105,Input,3,On1A3,,
2037,757,105,Exit,12,hole4,3,
2038,757,105,Entry,17,CorrectResp,,
2039,757,105,Reg,3,ComptCR,   51,000,
2040,757,105,Reg,6,Reward,   51,000,
2041,757,105,Reg,8,CptReward,   46,000,
2042,757,105,Reg,1,ComptOmision,    0,000,
2043,757,110,Exit,17,CorrectResp,Time,
2044,757,110,Entry,1,MagEntry,,
2045,757,110,Reg,2,ComptNbessai,   65,000,
2046,757,110,Reg,13,Accuracy,   70,769,
2047,757,110,Reg,14,Omission,    0,000,
2048,757,445,Input,34,Off1A2,,
2049,757,445,Input,35,Off1A3,,
2050,758,465,Input,1,On1A1,,
2051,758,465,Exit,1,MagEntry,1,
2052,758,465,Entry,2,ITI2sec,,
2053,759,780,Input,33,Off1A1,,
2054,760,470,Exit,2,ITI2sec,Time,
2055,760,470,Entry,3,RandomHole,,
2056,760,480,Exit,3,RandomHole,Time,
2057,760,480,List,,Pseudo1a5,   14,000,
2058,760,480,Entry,14,hole5,,
2059,760,480,Reg,12,HoleNumber,    5,000,
2060,761,445,Input,3,On1A3,,
2061,761,445,Input,4,On1A4,,
2062,761,445,Exit,14,hole5,4,
2063,761,445,Entry,17,CorrectResp,,
2064,761,445,Reg,3,ComptCR,   52,000,
2065,761,445,Reg,6,Reward,   52,000,
2066,761,445,Reg,8,CptReward,   47,000,
2067,761,445,Reg,1,ComptOmision,    0,000,
2068,761,451,Exit,17,CorrectResp,Time,
2069,761,451,Entry,1,MagEntry,,
2070,761,451,Reg,2,ComptNbessai,   66,000,
2071,761,451,Reg,13,Accuracy,   71,212,
2072,761,451,Reg,14,Omission,    0,000,
2073,761,785,Input,35,Off1A3,,
2074,761,785,Input,36,Off1A4,,
2075,762,315,Input,1,On1A1,,
2076,762,315,Exit,1,MagEntry,1,
2077,762,315,Entry,2,ITI2sec,,
2078,763,630,Input,33,Off1A1,,
2079,764,321,Exit,2,ITI2sec,Time,
2080,764,321,Entry,3,RandomHole,,
2081,764,335,Exit,3,RandomHole,Time,
2082,764,335,List,,Pseudo1a5,   10,000,
2083,764,335,Entry,10,hole3,,
2084,764,335,Reg,12,HoleNumber,    3,000,
2085,764,795,Input,4,On1A4,,
2086,764,795,Exit,10,hole3,4,
2087,764,795,Entry,17,CorrectResp,,
2088,764,795,Reg,3,ComptCR,   53,000,
2089,764,795,Reg,6,Reward,   53,000,
2090,764,795,Reg,8,CptReward,   48,000,
2091,764,795,Reg,1,ComptOmision,    0,000,
2092,764,800,Exit,17,CorrectResp,Time,
2093,764,800,Entry,1,MagEntry,,
2094,764,800,Reg,2,ComptNbessai,   67,000,
2095,764,800,Reg,13,Accuracy,   71,642,
2096,764,800,Reg,14,Omission,    0,000,
2097,765,135,Input,36,Off1A4,,
2098,765,745,Input,1,On1A1,,
2099,765,745,Exit,1,MagEntry,1,
2100,765,745,Entry,2,ITI2sec,,
2101,767,390,Input,33,Off1A1,,
2102,767,750,Exit,2,ITI2sec,Time,
2103,767,750,Entry,3,RandomHole,,
2104,767,760,Exit,3,RandomHole,Time,
2105,767,760,List,,Pseudo1a5,    8,000,
2106,767,760,Entry,8,hole2,,
2107,767,760,Reg,12,HoleNumber,    2,000,
2108,768,705,Input,3,On1A3,,
2109,768,705,Exit,8,hole2,3,
2110,768,705,Entry,17,CorrectResp,,
2111,768,705,Reg,3,ComptCR,   54,000,
2112,768,705,Reg,6,Reward,   54,000,
2113,768,705,Reg,8,CptReward,   49,000,
2114,768,705,Reg,1,ComptOmision,    0,000,
2115,768,710,Exit,17,CorrectResp,Time,
2116,768,710,Entry,1,MagEntry,,
2117,768,710,Reg,2,ComptNbessai,   68,000,
2118,768,710,Reg,13,Accuracy,   72,059,
2119,768,710,Reg,14,Omission,    0,000,
2120,769,045,Input,35,Off1A3,,
2121,769,195,Input,2,On1A2,,
2122,769,860,Input,34,Off1A2,,
2123,771,950,Input,1,On1A1,,
2124,771,950,Exit,1,MagEntry,1,
2125,771,950,Entry,2,ITI2sec,,
2126,772,940,Input,33,Off1A1,,
2127,773,955,Exit,2,ITI2sec,Time,
2128,773,955,Entry,3,RandomHole,,
2129,773,965,Exit,3,RandomHole,Time,
2130,773,965,List,,Pseudo1a5,    8,000,
2131,773,965,Entry,8,hole2,,
2132,773,965,Reg,12,HoleNumber,    2,000,
2133,774,530,Input,3,On1A3,,
2134,774,530,Exit,8,hole2,3,
2135,774,530,Entry,17,CorrectResp,,
2136,774,530,Reg,3,ComptCR,   55,000,
2137,774,530,Reg,6,Reward,   55,000,
2138,774,530,Reg,8,CptReward,   50,000,
2139,774,530,Reg,1,ComptOmision,    0,000,
2140,774,535,Exit,17,CorrectResp,Time,
2141,774,535,Entry,1,MagEntry,,
2142,774,535,Reg,2,ComptNbessai,   69,000,
2143,774,535,Reg,13,Accuracy,   72,464,
2144,774,535,Reg,14,Omission,    0,000,
2145,774,865,Input,35,Off1A3,,
2146,775,375,Input,1,On1A1,,
2147,775,375,Exit,1,MagEntry,1,
2148,775,375,Entry,2,ITI2sec,,
2149,776,690,Input,33,Off1A1,,
2150,777,380,Exit,2,ITI2sec,Time,
2151,777,380,Entry,3,RandomHole,,
2152,777,390,Exit,3,RandomHole,Time,
2153,777,390,List,,Pseudo1a5,   14,000,
2154,777,390,Entry,14,hole5,,
2155,777,390,Reg,12,HoleNumber,    5,000,
2156,778,390,Exit,14,hole5,Time,
2157,778,390,Entry,15,Holdhole5,,
2158,778,565,Input,3,On1A3,,
2159,778,565,Input,4,On1A4,,
2160,778,565,Exit,15,Holdhole5,4,
2161,778,565,Entry,17,CorrectResp,,
2162,778,565,Reg,3,ComptCR,   56,000,
2163,778,565,Reg,6,Reward,   56,000,
2164,778,565,Reg,8,CptReward,   51,000,
2165,778,565,Reg,1,ComptOmision,    0,000,
2166,778,570,Exit,17,CorrectResp,Time,
2167,778,570,Entry,1,MagEntry,,
2168,778,570,Reg,2,ComptNbessai,   70,000,
2169,778,570,Reg,13,Accuracy,   72,857,
2170,778,570,Reg,14,Omission,    0,000,
2171,779,230,Input,35,Off1A3,,
2172,779,230,Input,36,Off1A4,,
2173,780,360,Input,1,On1A1,,
2174,780,360,Exit,1,MagEntry,1,
2175,780,360,Entry,2,ITI2sec,,
2176,781,025,Input,33,Off1A1,,
2177,782,365,Exit,2,ITI2sec,Time,
2178,782,365,Entry,3,RandomHole,,
2179,782,375,Exit,3,RandomHole,Time,
2180,782,375,List,,Pseudo1a5,   14,000,
2181,782,375,Entry,14,hole5,,
2182,782,375,Reg,12,HoleNumber,    5,000,
2183,783,375,Exit,14,hole5,Time,
2184,783,375,Entry,15,Holdhole5,,
2185,784,375,Exit,15,Holdhole5,Time,
2186,784,375,Entry,16,Omission,,
2187,784,375,Reg,1,ComptOmision,    1,000,
2188,784,375,Reg,9,Omision,   17,000,
2189,784,385,Exit,16,Omission,Time,
2190,784,385,Entry,5,TimeOut,,
2191,785,530,Input,4,On1A4,,
2192,785,870,Input,36,Off1A4,,
2193,789,390,Exit,5,TimeOut,Time,
2194,789,390,Entry,1,MagEntry,,
2195,789,390,Reg,2,ComptNbessai,   71,000,
2196,789,390,Reg,13,Accuracy,   71,831,
2197,789,390,Reg,14,Omission,    0,000,
2198,794,365,Input,3,On1A3,,
2199,794,705,Input,35,Off1A3,,
2200,795,870,Input,1,On1A1,,
2201,795,870,Exit,1,MagEntry,1,
2202,795,870,Entry,2,ITI2sec,,
2203,796,535,Input,33,Off1A1,,
2204,797,875,Exit,2,ITI2sec,Time,
2205,797,875,Entry,3,RandomHole,,
2206,797,885,Exit,3,RandomHole,Time,
2207,797,885,List,,Pseudo1a5,   12,000,
2208,797,885,Entry,12,hole4,,
2209,797,885,Reg,12,HoleNumber,    4,000,
2210,798,105,Input,2,On1A2,,
2211,798,105,Input,3,On1A3,,
2212,798,105,Exit,12,hole4,3,
2213,798,105,Entry,17,CorrectResp,,
2214,798,105,Reg,3,ComptCR,   57,000,
2215,798,105,Reg,6,Reward,   57,000,
2216,798,105,Reg,8,CptReward,   52,000,
2217,798,105,Reg,1,ComptOmision,    0,000,
2218,798,110,Exit,17,CorrectResp,Time,
2219,798,110,Entry,1,MagEntry,,
2220,798,110,Reg,2,ComptNbessai,   72,000,
2221,798,110,Reg,13,Accuracy,   72,222,
2222,798,110,Reg,14,Omission,    0,000,
2223,798,445,Input,34,Off1A2,,
2224,798,445,Input,35,Off1A3,,
2225,798,815,Input,1,On1A1,,
2226,798,815,Exit,1,MagEntry,1,
2227,798,815,Entry,2,ITI2sec,,
2228,800,455,Input,33,Off1A1,,
2229,800,820,Exit,2,ITI2sec,Time,
2230,800,820,Entry,3,RandomHole,,
2231,800,830,Exit,3,RandomHole,Time,
2232,800,830,List,,Pseudo1a5,   10,000,
2233,800,830,Entry,10,hole3,,
2234,800,830,Reg,12,HoleNumber,    3,000,
2235,801,715,Input,4,On1A4,,
2236,801,715,Exit,10,hole3,4,
2237,801,715,Entry,17,CorrectResp,,
2238,801,715,Reg,3,ComptCR,   58,000,
2239,801,715,Reg,6,Reward,   58,000,
2240,801,715,Reg,8,CptReward,   53,000,
2241,801,715,Reg,1,ComptOmision,    0,000,
2242,801,720,Exit,17,CorrectResp,Time,
2243,801,720,Entry,1,MagEntry,,
2244,801,720,Reg,2,ComptNbessai,   73,000,
2245,801,720,Reg,13,Accuracy,   72,603,
2246,801,720,Reg,14,Omission,    0,000,
2247,802,055,Input,36,Off1A4,,
2248,802,550,Input,1,On1A1,,
2249,802,550,Exit,1,MagEntry,1,
2250,802,550,Entry,2,ITI2sec,,
2251,803,870,Input,33,Off1A1,,
2252,804,555,Exit,2,ITI2sec,Time,
2253,804,555,Entry,3,RandomHole,,
2254,804,565,Exit,3,RandomHole,Time,
2255,804,565,List,,Pseudo1a5,    8,000,
2256,804,565,Entry,8,hole2,,
2257,804,565,Reg,12,HoleNumber,    2,000,
2258,805,495,Input,3,On1A3,,
2259,805,495,Exit,8,hole2,3,
2260,805,495,Entry,17,CorrectResp,,
2261,805,495,Reg,3,ComptCR,   59,000,
2262,805,495,Reg,6,Reward,   59,000,
2263,805,495,Reg,8,CptReward,   54,000,
2264,805,495,Reg,1,ComptOmision,    0,000,
2265,805,500,Exit,17,CorrectResp,Time,
2266,805,500,Entry,1,MagEntry,,
2267,805,500,Reg,2,ComptNbessai,   74,000,
2268,805,500,Reg,13,Accuracy,   72,973,
2269,805,500,Reg,14,Omission,    0,000,
2270,805,835,Input,35,Off1A3,,
2271,806,425,Input,1,On1A1,,
2272,806,425,Exit,1,MagEntry,1,
2273,806,425,Entry,2,ITI2sec,,
2274,808,070,Input,33,Off1A1,,
2275,808,430,Exit,2,ITI2sec,Time,
2276,808,430,Entry,3,RandomHole,,
2277,808,440,Exit,3,RandomHole,Time,
2278,808,440,List,,Pseudo1a5,   10,000,
2279,808,440,Entry,10,hole3,,
2280,808,440,Reg,12,HoleNumber,    3,000,
2281,809,355,Input,4,On1A4,,
2282,809,355,Exit,10,hole3,4,
2283,809,355,Entry,17,CorrectResp,,
2284,809,355,Reg,3,ComptCR,   60,000,
2285,809,355,Reg,6,Reward,   60,000,
2286,809,355,Reg,8,CptReward,   55,000,
2287,809,355,Reg,1,ComptOmision,    0,000,
2288,809,360,Exit,17,CorrectResp,Time,
2289,809,360,Entry,1,MagEntry,,
2290,809,360,Reg,2,ComptNbessai,   75,000,
2291,809,360,Reg,13,Accuracy,   73,333,
2292,809,360,Reg,14,Omission,    0,000,
2293,809,695,Input,36,Off1A4,,
2294,810,346,Input,1,On1A1,,
2295,810,346,Exit,1,MagEntry,1,
2296,810,346,Entry,2,ITI2sec,,
2297,811,335,Input,33,Off1A1,,
2298,812,350,Exit,2,ITI2sec,Time,
2299,812,350,Entry,3,RandomHole,,
2300,812,360,Exit,3,RandomHole,Time,
2301,812,360,List,,Pseudo1a5,   10,000,
2302,812,360,Entry,10,hole3,,
2303,812,360,Reg,12,HoleNumber,    3,000,
2304,812,920,Input,4,On1A4,,
2305,812,920,Exit,10,hole3,4,
2306,812,920,Entry,17,CorrectResp,,
2307,812,920,Reg,3,ComptCR,   61,000,
2308,812,920,Reg,6,Reward,   61,000,
2309,812,920,Reg,8,CptReward,   56,000,
2310,812,920,Reg,1,ComptOmision,    0,000,
2311,812,925,Exit,17,CorrectResp,Time,
2312,812,925,Entry,1,MagEntry,,
2313,812,925,Reg,2,ComptNbessai,   76,000,
2314,812,925,Reg,13,Accuracy,   73,684,
2315,812,925,Reg,14,Omission,    0,000,
2316,813,260,Input,36,Off1A4,,
2317,813,845,Input,1,On1A1,,
2318,813,845,Exit,1,MagEntry,1,
2319,813,845,Entry,2,ITI2sec,,
2320,815,160,Input,33,Off1A1,,
2321,815,850,Exit,2,ITI2sec,Time,
2322,815,850,Entry,3,RandomHole,,
2323,815,860,Exit,3,RandomHole,Time,
2324,815,860,List,,Pseudo1a5,   10,000,
2325,815,860,Entry,10,hole3,,
2326,815,860,Reg,12,HoleNumber,    3,000,
2327,816,860,Exit,10,hole3,Time,
2328,816,860,Entry,11,Holdhole3,,
2329,816,865,Exit,11,Holdhole3,,
2330,816,865,Entry,16,Omission,,
2331,816,865,Reg,1,ComptOmision,    1,000,
2332,816,865,Reg,9,Omision,   18,000,
2333,816,875,Exit,16,Omission,Time,
2334,816,875,Entry,5,TimeOut,,
2335,816,970,Input,4,On1A4,,
2336,817,630,Input,3,On1A3,,
2337,817,635,Input,36,Off1A4,,
2338,817,960,Input,35,Off1A3,,
2339,821,880,Exit,5,TimeOut,Time,
2340,821,880,Entry,1,MagEntry,,
2341,821,880,Reg,2,ComptNbessai,   77,000,
2342,821,880,Reg,13,Accuracy,   72,727,
2343,821,880,Reg,14,Omission,    0,000,
2344,822,211,Input,1,On1A1,,
2345,822,211,Exit,1,MagEntry,1,
2346,822,211,Entry,2,ITI2sec,,
2347,823,200,Input,33,Off1A1,,
2348,824,215,Exit,2,ITI2sec,Time,
2349,824,215,Entry,3,RandomHole,,
2350,824,225,Exit,3,RandomHole,Time,
2351,824,225,List,,Pseudo1a5,    8,000,
2352,824,225,Entry,8,hole2,,
2353,824,225,Reg,12,HoleNumber,    2,000,
2354,824,795,Input,3,On1A3,,
2355,824,795,Exit,8,hole2,3,
2356,824,795,Entry,17,CorrectResp,,
2357,824,795,Reg,3,ComptCR,   62,000,
2358,824,795,Reg,6,Reward,   62,000,
2359,824,795,Reg,8,CptReward,   57,000,
2360,824,795,Reg,1,ComptOmision,    0,000,
2361,824,800,Exit,17,CorrectResp,Time,
2362,824,800,Entry,1,MagEntry,,
2363,824,800,Reg,2,ComptNbessai,   78,000,
2364,824,800,Reg,13,Accuracy,   73,077,
2365,824,800,Reg,14,Omission,    0,000,
2366,825,790,Input,35,Off1A3,,
2367,827,820,Input,1,On1A1,,
2368,827,820,Exit,1,MagEntry,1,
2369,827,820,Entry,2,ITI2sec,,
2370,828,811,Input,33,Off1A1,,
2371,829,825,Exit,2,ITI2sec,Time,
2372,829,825,Entry,3,RandomHole,,
2373,829,835,Exit,3,RandomHole,Time,
2374,829,835,List,,Pseudo1a5,   10,000,
2375,829,835,Entry,10,hole3,,
2376,829,835,Reg,12,HoleNumber,    3,000,
2377,830,220,Input,4,On1A4,,
2378,830,220,Exit,10,hole3,4,
2379,830,220,Entry,17,CorrectResp,,
2380,830,220,Reg,3,ComptCR,   63,000,
2381,830,220,Reg,6,Reward,   63,000,
2382,830,220,Reg,8,CptReward,   58,000,
2383,830,220,Reg,1,ComptOmision,    0,000,
2384,830,225,Exit,17,CorrectResp,Time,
2385,830,225,Entry,1,MagEntry,,
2386,830,225,Reg,2,ComptNbessai,   79,000,
2387,830,225,Reg,13,Accuracy,   73,418,
2388,830,225,Reg,14,Omission,    0,000,
2389,830,560,Input,36,Off1A4,,
2390,830,985,Input,1,On1A1,,
2391,830,985,Exit,1,MagEntry,1,
2392,830,985,Entry,2,ITI2sec,,
2393,832,300,Input,33,Off1A1,,
2394,832,990,Exit,2,ITI2sec,Time,
2395,832,990,Entry,3,RandomHole,,
2396,833,000,Exit,3,RandomHole,Time,
2397,833,000,List,,Pseudo1a5,   10,000,
2398,833,000,Entry,10,hole3,,
2399,833,000,Reg,12,HoleNumber,    3,000,
2400,834,000,Exit,10,hole3,Time,
2401,834,000,Entry,11,Holdhole3,,
2402,834,005,Exit,11,Holdhole3,,
2403,834,005,Entry,16,Omission,,
2404,834,005,Reg,1,ComptOmision,    1,000,
2405,834,005,Reg,9,Omision,   19,000,
2406,834,015,Exit,16,Omission,Time,
2407,834,015,Entry,5,TimeOut,,
2408,834,020,Input,4,On1A4,,
2409,834,360,Input,36,Off1A4,,
2410,836,130,Input,1,On1A1,,
2411,836,795,Input,33,Off1A1,,
2412,838,750,Input,4,On1A4,,
2413,839,020,Exit,5,TimeOut,Time,
2414,839,020,Entry,1,MagEntry,,
2415,839,020,Reg,2,ComptNbessai,   80,000,
2416,839,020,Reg,13,Accuracy,   72,500,
2417,839,020,Reg,14,Omission,    0,000,
2418,839,085,Input,36,Off1A4,,
2419,840,535,Input,1,On1A1,,
2420,840,535,Exit,1,MagEntry,1,
2421,840,535,Entry,2,ITI2sec,,
2422,842,180,Input,33,Off1A1,,
2423,842,540,Exit,2,ITI2sec,Time,
2424,842,540,Entry,3,RandomHole,,
2425,842,550,Exit,3,RandomHole,Time,
2426,842,550,List,,Pseudo1a5,    6,000,
2427,842,550,Entry,6,hole1,,
2428,842,550,Reg,12,HoleNumber,    1,000,
2429,843,070,Input,2,On1A2,,
2430,843,070,Exit,6,hole1,2,
2431,843,070,Entry,17,CorrectResp,,
2432,843,070,Reg,3,ComptCR,   64,000,
2433,843,070,Reg,6,Reward,   64,000,
2434,843,070,Reg,8,CptReward,   59,000,
2435,843,070,Reg,1,ComptOmision,    0,000,
2436,843,075,Exit,17,CorrectResp,Time,
2437,843,075,Entry,1,MagEntry,,
2438,843,075,Reg,2,ComptNbessai,   81,000,
2439,843,075,Reg,13,Accuracy,   72,840,
2440,843,075,Reg,14,Omission,    0,000,
2441,843,410,Input,34,Off1A2,,
2442,843,775,Input,1,On1A1,,
2443,843,775,Exit,1,MagEntry,1,
2444,843,775,Entry,2,ITI2sec,,
2445,845,741,Input,33,Off1A1,,
2446,845,780,Exit,2,ITI2sec,Time,
2447,845,780,Entry,3,RandomHole,,
2448,845,790,Exit,3,RandomHole,Time,
2449,845,790,List,,Pseudo1a5,   14,000,
2450,845,790,Entry,14,hole5,,
2451,845,790,Reg,12,HoleNumber,    5,000,
2452,846,790,Exit,14,hole5,Time,
2453,846,790,Entry,15,Holdhole5,,
2454,847,220,Input,3,On1A3,,
2455,847,220,Input,4,On1A4,,
2456,847,220,Exit,15,Holdhole5,4,
2457,847,220,Entry,17,CorrectResp,,
2458,847,220,Reg,3,ComptCR,   65,000,
2459,847,220,Reg,6,Reward,   65,000,
2460,847,220,Reg,8,CptReward,   60,000,
2461,847,220,Reg,1,ComptOmision,    0,000,
2462,847,225,Exit,17,CorrectResp,Time,
2463,847,225,Entry,1,MagEntry,,
2464,847,225,Reg,2,ComptNbessai,   82,000,
2465,847,225,Reg,13,Accuracy,   73,171,
2466,847,225,Reg,14,Omission,    0,000,
2467,847,560,Input,35,Off1A3,,
2468,847,560,Input,36,Off1A4,,
2469,848,130,Input,1,On1A1,,
2470,848,130,Exit,1,MagEntry,1,
2471,848,130,Entry,2,ITI2sec,,
2472,849,445,Input,33,Off1A1,,
2473,850,135,Exit,2,ITI2sec,Time,
2474,850,135,Entry,3,RandomHole,,
2475,850,145,Exit,3,RandomHole,Time,
2476,850,145,List,,Pseudo1a5,    6,000,
2477,850,145,Entry,6,hole1,,
2478,850,145,Reg,12,HoleNumber,    1,000,
2479,850,570,Input,2,On1A2,,
2480,850,570,Exit,6,hole1,2,
2481,850,570,Entry,17,CorrectResp,,
2482,850,570,Reg,3,ComptCR,   66,000,
2483,850,570,Reg,6,Reward,   66,000,
2484,850,570,Reg,8,CptReward,   61,000,
2485,850,570,Reg,1,ComptOmision,    0,000,
2486,850,575,Exit,17,CorrectResp,Time,
2487,850,575,Entry,1,MagEntry,,
2488,850,575,Reg,2,ComptNbessai,   83,000,
2489,850,575,Reg,13,Accuracy,   73,494,
2490,850,575,Reg,14,Omission,    0,000,
2491,851,560,Input,34,Off1A2,,
2492,851,970,Input,1,On1A1,,
2493,851,970,Exit,1,MagEntry,1,
2494,851,970,Entry,2,ITI2sec,,
2495,853,285,Input,33,Off1A1,,
2496,853,975,Exit,2,ITI2sec,Time,
2497,853,975,Entry,3,RandomHole,,
2498,853,985,Exit,3,RandomHole,Time,
2499,853,985,List,,Pseudo1a5,   14,000,
2500,853,985,Entry,14,hole5,,
2501,853,985,Reg,12,HoleNumber,    5,000,
2502,854,880,Input,3,On1A3,,
2503,854,880,Input,4,On1A4,,
2504,854,880,Exit,14,hole5,4,
2505,854,880,Entry,17,CorrectResp,,
2506,854,880,Reg,3,ComptCR,   67,000,
2507,854,880,Reg,6,Reward,   67,000,
2508,854,880,Reg,8,CptReward,   62,000,
2509,854,880,Reg,1,ComptOmision,    0,000,
2510,854,885,Exit,17,CorrectResp,Time,
2511,854,885,Entry,1,MagEntry,,
2512,854,885,Reg,2,ComptNbessai,   84,000,
2513,854,885,Reg,13,Accuracy,   73,810,
2514,854,885,Reg,14,Omission,    0,000,
2515,855,215,Input,35,Off1A3,,
2516,855,215,Input,36,Off1A4,,
2517,855,315,Input,3,On1A3,,
2518,855,315,Input,4,On1A4,,
2519,855,655,Input,35,Off1A3,,
2520,855,655,Input,36,Off1A4,,
2521,855,900,Input,1,On1A1,,
2522,855,900,Exit,1,MagEntry,1,
2523,855,900,Entry,2,ITI2sec,,
2524,857,220,Input,33,Off1A1,,
2525,857,905,Exit,2,ITI2sec,Time,
2526,857,905,Entry,3,RandomHole,,
2527,857,915,Exit,3,RandomHole,Time,
2528,857,915,List,,Pseudo1a5,   14,000,
2529,857,915,Entry,14,hole5,,
2530,857,915,Reg,12,HoleNumber,    5,000,
2531,858,915,Exit,14,hole5,Time,
2532,858,915,Entry,15,Holdhole5,,
2533,859,675,Input,3,On1A3,,
2534,859,675,Input,4,On1A4,,
2535,859,675,Exit,15,Holdhole5,4,
2536,859,675,Entry,17,CorrectResp,,
2537,859,675,Reg,3,ComptCR,   68,000,
2538,859,675,Reg,6,Reward,   68,000,
2539,859,675,Reg,8,CptReward,   63,000,
2540,859,675,Reg,1,ComptOmision,    0,000,
2541,859,680,Exit,17,CorrectResp,Time,
2542,859,680,Entry,1,MagEntry,,
2543,859,680,Reg,2,ComptNbessai,   85,000,
2544,859,680,Reg,13,Accuracy,   74,118,
2545,859,680,Reg,14,Omission,    0,000,
2546,860,015,Input,35,Off1A3,,
2547,860,015,Input,36,Off1A4,,
2548,860,625,Input,1,On1A1,,
2549,860,625,Exit,1,MagEntry,1,
2550,860,625,Entry,2,ITI2sec,,
2551,861,615,Input,33,Off1A1,,
2552,862,631,Exit,2,ITI2sec,Time,
2553,862,631,Entry,3,RandomHole,,
2554,862,641,Exit,3,RandomHole,Time,
2555,862,641,List,,Pseudo1a5,   10,000,
2556,862,641,Entry,10,hole3,,
2557,862,641,Reg,12,HoleNumber,    3,000,
2558,863,645,Exit,10,hole3,Time,
2559,863,645,Entry,11,Holdhole3,,
2560,863,650,Exit,11,Holdhole3,,
2561,863,650,Entry,16,Omission,,
2562,863,650,Reg,1,ComptOmision,    1,000,
2563,863,650,Reg,9,Omision,   20,000,
2564,863,660,Exit,16,Omission,Time,
2565,863,660,Entry,5,TimeOut,,
2566,863,665,Input,4,On1A4,,
2567,864,005,Input,36,Off1A4,,
2568,864,250,Input,3,On1A3,,
2569,864,250,Input,4,On1A4,,
2570,864,585,Input,35,Off1A3,,
2571,864,585,Input,36,Off1A4,,
2572,864,655,Input,3,On1A3,,
2573,864,655,Input,4,On1A4,,
2574,864,995,Input,35,Off1A3,,
2575,864,995,Input,36,Off1A4,,
2576,867,960,Input,1,On1A1,,
2577,868,625,Input,33,Off1A1,,
2578,868,661,Exit,5,TimeOut,Time,
2579,868,661,Entry,1,MagEntry,,
2580,868,661,Reg,2,ComptNbessai,   86,000,
2581,868,661,Reg,13,Accuracy,   73,256,
2582,868,661,Reg,14,Omission,    0,000,
2583,869,750,Input,1,On1A1,,
2584,869,750,Exit,1,MagEntry,1,
2585,869,750,Entry,2,ITI2sec,,
2586,870,415,Input,33,Off1A1,,
2587,871,755,Exit,2,ITI2sec,Time,
2588,871,755,Entry,3,RandomHole,,
2589,871,765,Exit,3,RandomHole,Time,
2590,871,765,List,,Pseudo1a5,    6,000,
2591,871,765,Entry,6,hole1,,
2592,871,765,Reg,12,HoleNumber,    1,000,
2593,872,115,Input,2,On1A2,,
2594,872,115,Exit,6,hole1,2,
2595,872,115,Entry,17,CorrectResp,,
2596,872,115,Reg,3,ComptCR,   69,000,
2597,872,115,Reg,6,Reward,   69,000,
2598,872,115,Reg,8,CptReward,   64,000,
2599,872,115,Reg,1,ComptOmision,    0,000,
2600,872,120,Exit,17,CorrectResp,Time,
2601,872,120,Entry,1,MagEntry,,
2602,872,120,Reg,2,ComptNbessai,   87,000,
2603,872,120,Reg,13,Accuracy,   73,563,
2604,872,120,Reg,14,Omission,    0,000,
2605,872,455,Input,34,Off1A2,,
2606,873,121,Input,1,On1A1,,
2607,873,121,Exit,1,MagEntry,1,
2608,873,121,Entry,2,ITI2sec,,
2609,874,435,Input,33,Off1A1,,
2610,875,125,Exit,2,ITI2sec,Time,
2611,875,125,Entry,3,RandomHole,,
2612,875,135,Exit,3,RandomHole,Time,
2613,875,135,List,,Pseudo1a5,   10,000,
2614,875,135,Entry,10,hole3,,
2615,875,135,Reg,12,HoleNumber,    3,000,
2616,876,135,Exit,10,hole3,Time,
2617,876,135,Entry,11,Holdhole3,,
2618,876,140,Exit,11,Holdhole3,,
2619,876,140,Entry,16,Omission,,
2620,876,140,Reg,1,ComptOmision,    1,000,
2621,876,140,Reg,9,Omision,   21,000,
2622,876,150,Exit,16,Omission,Time,
2623,876,150,Entry,5,TimeOut,,
2624,879,705,Input,2,On1A2,,
2625,880,045,Input,34,Off1A2,,
2626,881,155,Exit,5,TimeOut,Time,
2627,881,155,Entry,1,MagEntry,,
2628,881,155,Reg,2,ComptNbessai,   88,000,
2629,881,155,Reg,13,Accuracy,   72,727,
2630,881,155,Reg,14,Omission,    0,000,
2631,884,675,Input,1,On1A1,,
2632,884,675,Exit,1,MagEntry,1,
2633,884,675,Entry,2,ITI2sec,,
2634,885,015,Input,33,Off1A1,,
2635,886,680,Exit,2,ITI2sec,Time,
2636,886,680,Entry,3,RandomHole,,
2637,886,690,Exit,3,RandomHole,Time,
2638,886,690,List,,Pseudo1a5,    8,000,
2639,886,690,Entry,8,hole2,,
2640,886,690,Reg,12,HoleNumber,    2,000,
2641,887,235,Input,3,On1A3,,
2642,887,235,Exit,8,hole2,3,
2643,887,235,Entry,17,CorrectResp,,
2644,887,235,Reg,3,ComptCR,   70,000,
2645,887,235,Reg,6,Reward,   70,000,
2646,887,235,Reg,8,CptReward,   65,000,
2647,887,235,Reg,1,ComptOmision,    0,000,
2648,887,240,Exit,17,CorrectResp,Time,
2649,887,240,Entry,1,MagEntry,,
2650,887,240,Reg,2,ComptNbessai,   89,000,
