Num_line,S,MS,Cat,Num_cat,State,Display,null
190,151,965,Entry,9.0,Holdhole2,,
191,153,470,Exit,9.0,Holdhole2,Time,
192,153,470,Entry,16.0,Omission,,
195,153,480,Exit,16.0,Omission,Time,
196,153,480,Entry,5.0,TimeOut,,
197,158,485,Exit,5.0,TimeOut,Time,
198,158,485,Entry,1.0,MagEntry,,
202,169,205,Input,4.0,On1A4,,
203,169,870,Input,36.0,Off1A4,,
204,175,500,Input,3.0,On1A3,,
205,176,165,Input,35.0,Off1A3,,
206,177,495,Input,1.0,On1A1,,
207,177,495,Exit,1.0,MagEntry,1,
208,177,495,Entry,2.0,ITI2sec,,
209,178,160,Input,33.0,Off1A1,,
210,179,385,Input,2.0,On1A2,,
211,179,385,Input,3.0,On1A3,,
212,179,385,Exit,2.0,ITI2sec,2,
213,179,385,Entry,4.0,Premature,,
215,179,390,Exit,4.0,Premature,Time,
216,179,390,Entry,5.0,TimeOut,,
217,180,50,Input,34.0,Off1A2,,
218,180,50,Input,35.0,Off1A3,,
219,180,226,Input,3.0,On1A3,,
220,180,226,Input,4.0,On1A4,,
221,180,565,Input,35.0,Off1A3,,
222,180,565,Input,36.0,Off1A4,,
223,184,395,Exit,5.0,TimeOut,Time,
224,184,395,Entry,1.0,MagEntry,,
228,187,620,Input,1.0,On1A1,,
229,187,620,Exit,1.0,MagEntry,1,
230,187,620,Entry,2.0,ITI2sec,,
231,188,285,Input,33.0,Off1A1,,
232,188,325,Input,1.0,On1A1,,
233,188,665,Input,33.0,Off1A1,,
234,189,625,Exit,2.0,ITI2sec,Time,
235,189,625,Entry,3.0,RandomHole,,
236,189,635,Exit,3.0,RandomHole,Time,
238,189,635,Entry,10.0,hole3,,
240,189,700,Input,2.0,On1A2,,
241,189,700,Exit,10.0,hole3,2,
242,189,700,Entry,18.0,IncorrectResp,,
245,189,710,Exit,18.0,IncorrectResp,Time,
246,189,710,Entry,5.0,TimeOut,,
247,190,690,Input,34.0,Off1A2,,
248,194,715,Exit,5.0,TimeOut,Time,
249,194,715,Entry,1.0,MagEntry,,
253,194,965,Input,4.0,On1A4,,
254,195,305,Input,2.0,On1A2,,
255,195,305,Input,3.0,On1A3,,
256,195,305,Input,36.0,Off1A4,,
257,195,965,Input,34.0,Off1A2,,
258,195,965,Input,35.0,Off1A3,,
259,196,30,Input,3.0,On1A3,,
260,196,30,Input,4.0,On1A4,,
261,196,695,Input,35.0,Off1A3,,
262,196,695,Input,36.0,Off1A4,,
263,196,770,Input,3.0,On1A3,,
264,196,770,Input,4.0,On1A4,,
265,197,435,Input,35.0,Off1A3,,
266,197,435,Input,36.0,Off1A4,,
267,198,595,Input,1.0,On1A1,,
268,198,595,Exit,1.0,MagEntry,1,
269,198,595,Entry,2.0,ITI2sec,,
270,199,585,Input,33.0,Off1A1,,
271,200,530,Input,3.0,On1A3,,
272,200,530,Exit,2.0,ITI2sec,3,
273,200,530,Entry,4.0,Premature,,
275,200,535,Exit,4.0,Premature,Time,
276,200,535,Entry,5.0,TimeOut,,
277,201,520,Input,35.0,Off1A3,,
278,205,540,Exit,5.0,TimeOut,Time,
279,205,540,Entry,1.0,MagEntry,,
283,222,30,Input,1.0,On1A1,,
284,222,30,Exit,1.0,MagEntry,1,
285,222,30,Entry,2.0,ITI2sec,,
286,222,370,Input,33.0,Off1A1,,
287,224,35,Exit,2.0,ITI2sec,Time,
288,224,35,Entry,3.0,RandomHole,,
289,224,45,Exit,3.0,RandomHole,Time,
291,224,45,Entry,14.0,hole5,,
293,224,510,Input,3.0,On1A3,,
294,224,510,Input,4.0,On1A4,,
295,224,510,Exit,14.0,hole5,4,
296,224,510,Entry,17.0,CorrectResp,,
301,224,515,Exit,17.0,CorrectResp,Time,
302,224,515,Entry,1.0,MagEntry,,
306,224,850,Input,35.0,Off1A3,,
307,224,850,Input,36.0,Off1A4,,
308,225,485,Input,1.0,On1A1,,
309,225,485,Exit,1.0,MagEntry,1,
310,225,485,Entry,2.0,ITI2sec,,
311,226,800,Input,33.0,Off1A1,,
312,227,490,Exit,2.0,ITI2sec,Time,
313,227,490,Entry,3.0,RandomHole,,
314,227,500,Exit,3.0,RandomHole,Time,
316,227,500,Entry,6.0,hole1,,
318,227,555,Input,3.0,On1A3,,
319,227,555,Exit,6.0,hole1,3,
320,227,555,Entry,18.0,IncorrectResp,,
323,227,565,Exit,18.0,IncorrectResp,Time,
324,227,565,Entry,5.0,TimeOut,,
325,227,895,Input,35.0,Off1A3,,
326,232,570,Exit,5.0,TimeOut,Time,
327,232,570,Entry,1.0,MagEntry,,
331,234,575,Input,4.0,On1A4,,
332,234,915,Input,36.0,Off1A4,,
333,234,950,Input,2.0,On1A2,,
334,234,950,Input,3.0,On1A3,,
335,235,290,Input,34.0,Off1A2,,
336,235,290,Input,35.0,Off1A3,,
337,235,420,Input,3.0,On1A3,,
338,235,420,Input,4.0,On1A4,,
339,235,760,Input,35.0,Off1A3,,
340,235,760,Input,36.0,Off1A4,,
341,264,260,Input,3.0,On1A3,,
342,264,600,Input,35.0,Off1A3,,
343,302,790,Input,4.0,On1A4,,
344,303,130,Input,36.0,Off1A4,,
345,323,990,Input,2.0,On1A2,,
346,323,990,Input,3.0,On1A3,,
347,324,655,Input,34.0,Off1A2,,
348,324,655,Input,35.0,Off1A3,,
349,324,780,Input,3.0,On1A3,,
350,324,780,Input,4.0,On1A4,,
351,325,120,Input,35.0,Off1A3,,
352,325,120,Input,36.0,Off1A4,,
353,330,175,Input,1.0,On1A1,,
354,330,175,Exit,1.0,MagEntry,1,
355,330,175,Entry,2.0,ITI2sec,,
356,330,840,Input,33.0,Off1A1,,
357,332,180,Exit,2.0,ITI2sec,Time,
358,332,180,Entry,3.0,RandomHole,,
359,332,190,Exit,3.0,RandomHole,Time,
361,332,190,Entry,14.0,hole5,,
363,333,540,Input,3.0,On1A3,,
364,333,540,Input,4.0,On1A4,,
365,333,540,Exit,14.0,hole5,4,
366,333,540,Entry,17.0,CorrectResp,,
371,333,545,Exit,17.0,CorrectResp,Time,
372,333,545,Entry,1.0,MagEntry,,
376,333,880,Input,35.0,Off1A3,,
377,333,880,Input,36.0,Off1A4,,
378,334,450,Input,1.0,On1A1,,
379,334,450,Exit,1.0,MagEntry,1,
380,334,450,Entry,2.0,ITI2sec,,
381,335,440,Input,33.0,Off1A1,,
382,336,455,Exit,2.0,ITI2sec,Time,
383,336,455,Entry,3.0,RandomHole,,
384,336,465,Exit,3.0,RandomHole,Time,
386,336,465,Entry,8.0,hole2,,
388,336,855,Input,3.0,On1A3,,
389,336,855,Exit,8.0,hole2,3,
390,336,855,Entry,17.0,CorrectResp,,
395,336,860,Exit,17.0,CorrectResp,Time,
396,336,860,Entry,1.0,MagEntry,,
400,337,850,Input,35.0,Off1A3,,
401,338,515,Input,1.0,On1A1,,
402,338,515,Exit,1.0,MagEntry,1,
403,338,515,Entry,2.0,ITI2sec,,
404,339,505,Input,33.0,Off1A1,,
405,340,520,Exit,2.0,ITI2sec,Time,
406,340,520,Entry,3.0,RandomHole,,
407,340,530,Exit,3.0,RandomHole,Time,
409,340,530,Entry,6.0,hole1,,
411,341,765,Input,2.0,On1A2,,
412,341,765,Exit,6.0,hole1,2,
413,341,765,Entry,17.0,CorrectResp,,
418,341,770,Exit,17.0,CorrectResp,,
419,341,770,Entry,19.0,State_change,,
424,341,775,Exit,19.0,State_change,,
425,341,775,Entry,21.0,Level8,,
426,341,780,Exit,21.0,Level8,Time,
427,341,780,Entry,1.0,MagEntry,,
431,342,430,Input,34.0,Off1A2,,
432,342,970,Input,1.0,On1A1,,
433,342,970,Exit,1.0,MagEntry,1,
434,342,970,Entry,2.0,ITI2sec,,
435,343,960,Input,33.0,Off1A1,,
436,344,730,Input,2.0,On1A2,,
437,344,730,Exit,2.0,ITI2sec,2,
438,344,730,Entry,4.0,Premature,,
440,344,735,Exit,4.0,Premature,Time,
441,344,735,Entry,5.0,TimeOut,,
442,345,70,Input,34.0,Off1A2,,
443,348,356,Input,4.0,On1A4,,
444,349,15,Input,2.0,On1A2,,
445,349,15,Input,3.0,On1A3,,
446,349,20,Input,36.0,Off1A4,,
447,349,345,Input,34.0,Off1A2,,
448,349,345,Input,35.0,Off1A3,,
449,349,505,Input,3.0,On1A3,,
450,349,505,Input,4.0,On1A4,,
451,349,740,Exit,5.0,TimeOut,Time,
452,349,740,Entry,1.0,MagEntry,,
456,349,845,Input,35.0,Off1A3,,
457,349,845,Input,36.0,Off1A4,,
458,352,680,Input,1.0,On1A1,,
459,352,680,Exit,1.0,MagEntry,1,
460,352,680,Entry,2.0,ITI2sec,,
461,353,345,Input,33.0,Off1A1,,
462,354,685,Exit,2.0,ITI2sec,Time,
463,354,685,Entry,3.0,RandomHole,,
464,354,695,Exit,3.0,RandomHole,Time,
466,354,695,Entry,12.0,hole4,,
468,355,170,Input,4.0,On1A4,,
469,355,170,Exit,12.0,hole4,4,
470,355,170,Entry,18.0,IncorrectResp,,
473,355,180,Exit,18.0,IncorrectResp,Time,
474,355,180,Entry,5.0,TimeOut,,
475,356,160,Input,36.0,Off1A4,,
476,360,185,Exit,5.0,TimeOut,Time,
477,360,185,Entry,1.0,MagEntry,,
481,361,410,Input,1.0,On1A1,,
482,361,410,Exit,1.0,MagEntry,1,
483,361,410,Entry,2.0,ITI2sec,,
484,361,750,Input,33.0,Off1A1,,
485,363,415,Exit,2.0,ITI2sec,Time,
486,363,415,Entry,3.0,RandomHole,,
487,363,425,Exit,3.0,RandomHole,Time,
489,363,425,Entry,12.0,hole4,,
491,364,425,Exit,12.0,hole4,Time,
492,364,425,Entry,13.0,Holdhole4,,
493,365,425,Exit,13.0,Holdhole4,Time,
494,365,425,Entry,16.0,Omission,,
497,365,435,Exit,16.0,Omission,Time,
498,365,435,Entry,5.0,TimeOut,,
499,367,325,Input,3.0,On1A3,,
500,367,665,Input,35.0,Off1A3,,
501,367,845,Input,4.0,On1A4,,
502,368,185,Input,36.0,Off1A4,,
503,368,290,Input,2.0,On1A2,,
504,368,290,Input,3.0,On1A3,,
505,368,620,Input,4.0,On1A4,,
506,368,630,Input,34.0,Off1A2,,
507,368,955,Input,35.0,Off1A3,,
